Направление воспитательной работы$Название $Дата проведения$Место проведения$Предполагаемый охват участников$Ответственное лицо, ФИО$Ответственное лицо. Должность
-$День знаний (торжественная линейка и собрания по институтам)$2021-09-01$Площадь Котельникова, учебные корпуса$3000$Куликова А.М.$начальник управления молодежной политики
культурно-просветительское$Репетиционные занятия творческих коллективов $в течение года по утвержденному расписанию$Репетиционные залы$350$Чуняева О.А.$руководитель культурно-творческого центра
культурно-просветительское$Организация посещения студентами учреждений культуры$в течение года$Театры города, Красноярская краевая филармония$1000$Чуняева О.А.$руководитель культурно-творческого центра
здоровьесберегающее$Индивидуальная и групповая психолого-консультативная, экспертная работа$в течение года по запросу обучающихся и сотрудников$учебные корпуса университета$3000$Ливак Н.С.$директор социально-психологического центра «Инсайт»
гражданское$Работа по исполнению Комплексного плана мероприятий по противодействию идеологии экстремизма и терроризма$В течение года по утвержденному плану$учебные корпуса и общежития университета$3000$Лысенко А.М.$специалист управления молодежной политики
гражданское$Мероприятия, приуроченные к Дню солидарности в борьбе с терроризмом (3 сентября)$2021-09-03$учебные корпуса университета$1500$Лысенко А.М. $специалист управления молодежной политики
-$Адаптационный комплекс мероприятий для первокурсников$сентябрь-октябрь$"учебные корпуса, Гранд-Холл ""Сибирь"""$2000$Куликова А.М.$начальник управления молодежной политики
культурно-просветительское$Наборы в творческие коллективы СДК$сентябрь-октябрь$культурно-творческий центр$500$Чуняева О.А.$руководитель культурно-творческого центра 
здоровьесбере-гающее $Первенство СибГУ по спортивному ориентированию$сентябрь$лыжная база ул. Ленинградская, 7а $100$Пистер Е.Д.$начальник спортивного клуба
экологическое$Участие во Всероссийской акции «Экодиктант»$сентябрь $учебные корпуса университета$300$Кампова И.Ю.$начальник отдела развития студенческого потенциала 
культурно-просветительское$½ 16 сезона КВН$сентябрь $культурно-творческий центр$400$Плескач Д.И. $руководитель коллектива культурно-творческого центра
гражданское$Региональный этап Российской национальной премии «Студент года»$сентябрь$РСЦ «Гагарин»$30$Кампова И.Ю.$начальник отдела развития студенческого потенциала
культурно-просветительское$Медиашкола$сентябрь$ул. Ленина, 71$50$Кузнецов И.А. $ведущий специалист отдела развития студенческого потенциала 
научно-образовательное$Интернет-олимпиада по русскому языку, социальной работе, правоведению$сентябрь$проспект имени газеты «Красноярский рабочий», д.31$300$Храпунова В.В.$начальник отдела научно-исследовательской работы студентов
культурно-просветительское$Финал 16 сезона КВН$октябрь$культурно-творческий центр$400$Плескач Д.И.$Руководитель коллектива Культурно-творческого центра
здоровьесберегающее$Социально-психологическое тестирование$октябрь$специализированный сайт$1500$Ливак Н.С.$Социально-психологический центр «Инсайт»
культурно-просветительское$Фестиваль открытой студенческой Лиги КВН «Пуск» $октябрь $культурно-творческий центр$400$Плескач Д.И.$Руководитель коллектива Культурно-творческого центра 
здоровьесберегающее $Первенство СибГУ по пулевой стрельбе$октябрь$УСК ул.Ленина, 80 $200$Пистер Е.Д.$начальник спортивного клуба
здоровьесберегающее $Первенство СибГУ по дартсу $октябрь$УСК ул.Ленина, 80$200$Пистер Е.Д.$начальник спортивного клуба
патриотическое$Серия торжественных мероприятий к празднованию юбилея СибГУ им. М.Ф. Решетнева$октябрь$Большой концертный зал, корпуса университета$8000$Куликова А.М.$начальник управления молодежной политики
культурно-просветительское$Кубок первокурсников$2021-10-29$"Гранд-Холл ""Сибирь"""$2500$Куликова А.М.$начальник управления молодежной политики
научно-образовательное$Экологический квест «Природопользователь и окружающая среда»$25.10.2021 – 13.11.2021$пр. Мира 82$50$Колесников П.Г.$Директор ИЛТ
здоровьесберегающее $Чемпионат студенческой волейбольной лиги России по СФОи ДФО$ноябрь$УСК ул.Ленина, 80 $96$Пистер Е.Д.$начальник спортивного клуба
-$Конкурс внутренних грантов для обучающихся$ноябрь$пр. Мира, 82$150$Кампова И.Ю.$начальник отдела развития студенческого потенциала 
